OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
310,BLE,UVC,Mi Pueblo Restaurant,7003 UNIVERSITY CITY BV,Complete,NEWC,RET,0,0,0,0.44,,2018,,Yes,,,0,9119,9119,,,,67837.7298120607,1073.21771092269
311,BLE,UVC,Centennial University City,8235 Dave McKinney Av,Complete,NEWC,MTF,352,0,0,0.16,70400000,2020,,Yes,,,0,0,0,,,,755628.375378565,4666.96000966676
312,BLE,UVC,Oxford Gateway Apartments,7232 N Tryon St,Complete,NEWC,MTF,338,0,0,0.2,67600000,2018,McKinney Holdings,Yes,,,0,0,0,,,,548750.709621953,3710.16506179501
313,BLE,UVC,Belgate Parcel A3/4,6937 UNIVERSITY CITY BV,Complete,NEWC,RET,0,0,0,0.46,,2017,,Yes,,,0,16309,16309,,,,133821.053269303,1486.76527770746
314,BLE,UVC,Belgate restaurant,8328 IKEA BV ,Complete,NEWC,RET,0,0,0,0.43,,2019,,Yes,,,0,4723,4723,,,,55367.0679315506,944.487473908124
315,BLE,UVC,Woodspring Suites,7007 MACFARLANE BV,Complete,NEWC,HOS,0,0,122,0.4,,2020,,Yes,,,0,0,48712,,,,122836.241039553,1457.60613436842
316,BLE,UVC,Mosby University City,404 GALLOP LN,Complete,NEWC,MTF,309,0,0,0.3,61800000,2020,,Yes,,,0,0,0,,,,455136.776526763,4360.07638348931
317,GL,,Giddy Goat,1217 The Plaza ,Complete,RENOA,RET,0,0,0,0.5,,2018,,Yes,,,0,3879,3879,,26,,11900.4101954532,484.389573849451
318,GL,,1800 Central,1800 Central Av,Complete,NEWC,MIXU,0,0,0,0.1,9000000,2020,Boulevard Real Estate,Yes,,,18500,9000,27500,,48,,30390.0814916529,700.28294700281
319,GL,,Overton Row Plaza Midwood,1201 Central Av,Complete,NEWC,MTF,323,0,0,0.1,70000000,2018,,Yes,,,0,0,0,,,,185683.854542539,2091.09558813688
320,GL,,7th Street Apartments,705 E 7th St,Under Construction,NEWC,MTF,106,106,0,0.23,22000000,,LITTLE ROCK CDC,Yes,,,0,0,0,,,,56400.0087967307,1187.95515687218
321,GL,,Resident Culture PM,2101 Central Av,Complete,ADR,RET,0,0,0,,1700000,2017,Resident Culture Brewing,Yes,,,0,14400,14400,,25,,42932.0104604219,842.826729146536
322,GL,,Supperland,1212 The Plaza,Complete,ADR,RET,0,0,0,,500000,2020,,Yes,,,0,7500,7500,,7,,13328.6142955063,513.264121098126
323,GL,,"ADULIS, LLC (Ph 3)",3717 Sharon Amity Rd.,Complete,NEWC,RET,0,0,0,0,1000000,2020,,Yes,,,0,5000,5000,,,,40039.7147335597,830.884481896707
324,GL,,Belmont Mills,1020 E 10th St,Complete,NEWC,MIXU,0,0,0,,10000000,2017,Pamlico Investments,Yes,,,,7885,120683,,,,61969.2639567433,1038.0564694397
325,GL,,Midwood Flats,2017 Central Av.,Complete,NEWC,MIXU,97,0,0,,,2019,DPJ Residential,Yes,,,0,5000,5000,,,,73821.5556716975,1224.27133178755
326,GL,,Devil's Logic Brewing,1426 E 4TH ST,Complete,ADR,RET,0,0,0,,1500000,2020,Axiom Brewing Company LLC,Yes,,,0,9760,9760,,,,10295.5933452322,511.571385165464
327,GL,,Caldwell Hearth,1615 E. 5th St.,Complete,ADD,INS,0,0,0,,3000000,2022,Caldwell Memorial Presbyterian Church,Yes,,,17418,,17418,,,,57564.6065809368,982.216784720165
328,GL,,Marvel Apartments,1925 Central Av.,Complete,NEWC,MIXU,36,0,0,,5000000,2016,Gateway Communities LLC,Yes,,,0,675,675,,37,,18086.5239323989,556.205165202986
329,GL,,McClintock Corners,2157 McClintock Rd.,Complete,NEWC,MTF,12,0,0,,2000000,2020,Levine Properties,Yes,,,0,0,0,,,,29251.2597464364,690.876025689486
330,GL,,McClintock and Nandina,2131 MCCLINTOCK RD,Complete,NEWC,TWHM,21,0,0,,4200000,2020,The Drakeford Company,Yes,,,0,0,0,,,,34415.8363337556,813.197896072429
331,GL,,Metro 808,808 Hawthorne Ln.,Complete,NEWC,MTF,237,0,0,,42257300,2011,Woodfield,Yes,,,0,0,0,,331,,112832.828150976,1354.646430475
332,,,,,Complete,RENOA,RET,0,0,0,,2000000,2021,TriBridge,Yes,,,0,10300,10300,,,,33311.150361757,727.07191261912
333,GL,,Refuge,1101 Central Av,Complete,ADR,HOS,0,0,5,0,5500000,2021,QUEEN CITY HOTEL INVESTORS LLC,Yes,,,0,0,4500,,,,14874.4600695863,501.384357865699
334,GL,,Townes on Central,1605 CHATHAM AV,Complete,NEWC,TWHM,12,0,0,,3000000,2021,,Yes,,,0,0,0,,20,,20796.6318513962,589.21161212294
335,GL,,The Oaks at Cherry,1604 Luther St.,Complete,NEWC,,22,22,0,,3500000,2017,,Yes,,,0,0,0,,,,44684.767813487,842.639411728849
336,GL,,Grandin Heights,131 Grandin Rd.,Complete,NEWC,TWHM,45,0,0,,6125000,2018,,Yes,,,0,0,0,,117,,110252.866783973,1396.81809425595
337,GL,,Blue Blaze Brewing,528 S TURNER AV,Complete,ADR,RET,0,0,0,,,2019,Argos Real Estate Advisors,Yes,,,0,8644,8644,,314,,9052.78341209835,391.539525681816
338,GL,,Uptown West Terraces,200 Wesley Heights Way,Complete,NEWC,TWHM,74,0,0,,14000000,2019,,Yes,,,0,0,0,,172,,185346.870093407,2030.36049802887
339,GL,,McShane Partners,2150 Park Dr.,Complete,NEWC,MIXU,1,0,0,,5000000,2022,McShane Partners,Yes,,,7200,0,7200,,8,,9427.41181040603,441.267676261947
340,GL,,Elizabeth Square,730 Hawthorne Ln,Complete,NEWC,MTF,267,0,0,,50000000,2008,,Yes,,,0,0,0,,,,146207.129199162,1517.61456209256
341,GL,,Metropolitan Townes,1433 Luther St,Complete,NEWC,TWHM,4,0,0,,2000000,2018,,Yes,,,0,0,0,,,,6536.38828660874,328.943934917334
342,GL,,Tall Oaks Redevelopment - Site A,1415 Luther St,Complete,NEWC,MTF,36,36,0,,,2016,Charlotte Housing Authority,Yes,,,0,0,0,,,,79745.7532207179,1278.7616156893
343,GL,,One305 Apartments Ph2,1117 CLEMENT AV,Complete,NEWC,MTF,35,0,0,,7500000,2016,TriBridge,Yes,,,0,0,0,,417,,32293.031598167,732.006713363199
344,GL,,Plaza 25,1114 Clement Av.,Complete,NEWC,MTF,25,0,0,,3000000,2014,,Yes,,,0,0,0,,,,34893.5469980286,792.58124668419
345,GL,,The Nook,1421 Central Av,Complete,NEWC,MIXU,24,0,0,,2500000,2015,,Yes,,,0,800,800,,25,,18564.170324974,566.891739400756
346,GL,,Grandin Heights 2,137 Grandin Rd.,Complete,RENOA,MTF,4,0,0,,450000,2019,,Yes,,,0,0,0,,,,5974.29264557484,307.099627098426
347,GL,,LaSalle Crossing,2023 Beatties Ford Rd.,Complete,RENOA,RET,0,0,0,,1500000,2021,E-FIX DEVELOPMENT CO LLC,Yes,,,0,6500,6500,,24,,34992.4988427495,941.175120293712
348,GL,,Urban Hive,131 S BRUNS AV,Complete,NEWC,TWHM,22,0,0,,4500000,2020,Verde Homes,Yes,,,0,0,0,,,,94580.6606144532,1589.15195690908
349,GL,,West End Towns,375 S BRUNS AV,Under Construction,NEWC,TWHM,57,0,0,,11500000,,"Shea Investment Fund 5, Llc",Yes,,,0,0,0,,,,151376.889484923,2036.90133928806
350,GL,,Gateway West,902 4TH ST,Complete,NEWC,MIXU,280,0,0,,58000000,2014,,Yes,,,0,10914,10914,,359,,121466.606707665,1587.17575334865
351,SL,ASH,Ashley Flats,2114 ASHLEY RD,Under Construction,NEWC,MTF,150,150,0,0.9,22000000,,,Yes,,,0,0,0,,,,265216.187363019,2338.82174676666
352,BL,ARWW,Paragon Office,700 Windsor Oak Ct.,Proposed,NEWC,OFF,0,0,0,0.45,,,Paragon Site Solutions,Yes,,,16000,0,16000,,,,267983.527714525,3243.6231869464
353,BL,ARWW,England St Affordable Housing,7600 England St.,Proposed,NEWC,,0,,,0.25,,,,,,,,,,,,,678518.549987972,4189.27274502438
354,BL,I485S,Borgin Properties,9522 China Grove Chruch Rd.,Proposed,NEWC,RES,0,,,0.4,,,,Yes,,,,,,,,,4695.77210012451,288.333642437378
355,BL,ARCH,Ardent,6500 South Bv.,Under Construction,NEWC,TWHM,175,0,0,0.3,35000000,,Ardent Companies,Yes,,,0,0,0,,,,432840.424550072,2769.18815684204
356,BL,BLD,South Mint Street,1513 S. Mint St.,Proposed,ADR,RET,0,0,0,0.4,,,,Yes,,,,,12036,,,,22160.9384590761,595.554321255491
357,BL,BLD,1415 S Church,1415 S. Church St.,Under Construction,NEWC,MIXU,303,0,0,0.25,68625000,,Haven Communities,Yes,,,0,2900,2900,,374,,82146.315827163,1134.59043982416
358,BL,BLD,1427 South Bv.,1427 South Bv.,Proposed,NEWC,MTF,446,,,0.17,100000000,,Akridge,Yes,,,,,,,557,,40229.31241215,810.597576825633
359,BL,ARWW,Bonomi North America,750 Imperial Ct.,Proposed,ADD,OFF,0,0,0,0.32,,,,Yes,,,20000,,20000,,,,95616.588829669,1237.407413854
360,BL,BLD,District Dilworth Building C ,1301 South Bv.,Proposed,NEWC,MIXU,0,,,0.2,7500000,,,,,,,,25000,,,,94713.5932943251,1530.52527036839
361,BL,CAR,1111 S. Tryon St.,1001 S. Tryon St.,Proposed,NEWC,MIXU,578,,,0.1,,,Riverside Investment and Development,Yes,,,783687,43548,827235,,,,141734.573917773,1568.53963043085
362,BL,CAR,Crescent at Carson,110 W. Carson Bv.,Proposed,NEWC,MIXU,192,,,0.13,,,Crescent Communities,Yes,,,565000,,565000,,,,119052.107520932,1485.11740558345
363,BL,EAWT,Dilworth Artisan Station,118 E. Kingston Av.,Proposed,RENOA,MIXU,0,,,0.1,,,Whitepoint Partners,Yes,,,,,,,,,53672.4484275291,937.508030001948
364,BL,EAWT,306 Tremont,242 W TREMONT AV,Proposed,NEWC,MIXU,300,0,0,0.27,,,Cousins,Yes,,,328099,18042,346141,,,,105860.947499367,1533.48876646675
365,BL,EAWT,Omshera Hawkins,2132 HAWKINS ST,Proposed,NEWC,MIXU,0,0,306,0.28,,,Omshera Hotels,Yes,,,5325,4839,10164,,265,,38822.1197077615,1094.06403721351
366,BL,CAR,Mint Morehead,1001 S. Mint St.,Proposed,NEWC,MIXU,388,,,0.3,,,,Yes,,,,,,,,,60666.989117918,1028.40815100022
367,BL,CAR,Saucy Brew Works,501 E. Morehead St.,Proposed,ADR,RET,0,,,0.28,,,,Yes,,,,,,,,,17028.0210762352,528.101551559443
368,BL,EAWT,Everly Apartments,421 W. Tremont St.,Under Construction,NEWC,MTF,253,0,0,0.5,57000000,,RAM Real Estate,Yes,,,0,0,0,,363,,108454.282772435,1332.04608504568
369,BL,EAWT,2161 Hawkins,2161 Hawkins St.,Under Construction,NEWC,MIXU,308,0,0,0.3,75000000,,Portman Residential,Yes,,,0,21620,21620,,12,,57498.4744835432,1009.39973213305
370,BL,EAWT,Design Center 2,129 West Bv.,Proposed,NEWC,MIXU,336,0,0,0.05,84000000,,Design Center Phase II LLC,Yes,,,0,13200,13200,,495,,50197.4760382065,902.388192012266
371,BL,EAWT,2101 South Tryon,2101 S TRYON ST,Under Construction,NEWC,MIXU,285,0,0,0.45,71000000,,Portman Residential,Yes,,,0,6129,6129,,,,82933.6908185088,1227.61284127877
372,BL,EAWT,Cleveland Avenue Apartments,209 MCDONALD AV,Under Construction,NEWC,MIXU,110,0,0,0.25,27000000,,Abacus Capital,Yes,,,0,2250,2250,,,,33507.8430361452,954.338397026216
373,BL,EAWT,1933 South Blvd,1933 South Blvd,Proposed,NEWC,MIXU,300,0,0,0.18,75000000,,Southern Land,Yes,,,0,5737,5737,,410,,39876.9771808427,798.832591852678
374,BL,EAWT,East South Crossing,105 EAST BV,Proposed,NEWC,MIXU,0,0,0,0.01,155000000,,Whitepoint Partners,Yes,,,396737,12725,409462,,948,,50782.0641790174,980.377683206047
375,BL,EAWT,2932 Griffith ,2932 Griffith St,Under Construction,ADR,RET,0,0,0,0.1,,,,Yes,,,0,2363,2363,,,,7486.88653249212,384.753821146033
376,BL,EAWT,Camden Exchange,1612 Camden Rd.,Under Construction,NEWC,MIXU,315,0,0,0.05,79000000,,Stiles + Catalyst Development Partners,Yes,,,9633,10149,19782,,,,37138.4232714979,772.090021921788
377,BL,NBN,The Fairwood,217 Fairwood Av.,Under Construction,ADR,RET,0,0,0,0.29,,,Baloo Holdings,Yes,,,2789,8000,10789,,13,,22140.9924090568,595.233423816497
378,BL,I485S,Blu South - Mixed Use Development,800 AILEEN CR,Under Construction,NEWC,TWHM,213,0,0,0.85,42600000,,Cornerstone Development of the Carolinas,Yes,,,0,0,0,,,,1560833.55493551,8040.05329341834
379,BL,I485S,Starbucks South Blvd,9425 South Blvd,Under Construction,NEWC,RET,0,0,0,0.2,,,,Yes,,,0,6747,6747,,61,,70325.936987619,1110.60625316376
380,BL,EAWT,Beer Market,2412 Distribution St.,Under Construction,ADR,RET,0,0,0,0.5,,,,Yes,,,0,2750,2750,,,,18185.7156346731,596.289991485718
381,SL,PEC,Central Square,1314 Central Avenue,Under Construction,NEWC,MIXU,400,,,0.01,200000000,,Crescent,,,,150000,104000,254000,,,,468944.952837769,2954.93896672511
382,SL,PEC,Julien Phase 2,1501 E. Independence Bv.,Proposed,NEWC,MIXU,175,,,,,,,,,,,,12000,,,,41136.7639843908,830.35635546754
383,SL,GAL,Proximity Matthews,10252 Monroe Rd.,Complete,NEWC,MTF,250,,,0.1,43750,2019,The Development Group,,,,,,,,,,942647.548402587,4040.84908228386
384,SL,VLL,Creekridge,7800 Creekridge Rd,Under Construction,NEWC,MTF,150,150,,0.5,20000000,,Dominion,,,,,,,,262,,384629.196203857,2512.1944100451
385,SL,MOH,Modera Cedar Mill,619 S. Cedar St.,Proposed,NEWC,MIXU,382,,,0.1,,,Foundry Commercial,Yes,,,,21644,21644,,419,,209652.28918054,1880.29780207531
386,,I485S,Blu South Phase 5,I-485,Proposed,NEWC,,0,,,0.45,,,LGW Land,,,,,,,,,,1342849.82622833,5292.32085982817
387,BL,ARWW,South Blvd. MOB,6859 South Bv.,Under Construction,NEWC,OFF,0,,,0.3,4400000,,6859 SB LLC,Yes,,,11000,,,,8,,40309.4670931858,807.232770665171
388,BL,BLD,Delray Winnifred,1434 Winnifred St.,Proposed,NEWC,MIXU,346,,,0.15,87000000,,Delray Ventures,No,,,,5142,5142,,475,,63570.4387606807,1334.67647092549
389,BL,EAWT,Project J,1726 S. Tryon St.,Proposed,NEWC,MTF,84,,,0.25,16800000,,Yee Ventures,No,,,,,,,0,,21662.6006468683,648.888802022688
390,BL,SCB,Scaleybark Affordable Housing,Dewitt Ln.,Proposed,NEWC,MTF,82,82,,0.1,13000000,,,No,,,,,,,,,116054.620273701,2114.93949506592
391,BL,SCB,Freeland Park Townhomes,3834 Dewitt Ln,Under Construction,NEWC,TWHM,15,,,0.2,6400000,,Denciti Partners,No,,,,,,,15,,29326.6987322422,855.89166597036
392,BL,SCB,Cline Design,220 Peterson Dr.,Complete,ADR,OFF,0,,,0.35,1984000,2022,Cline Design,Yes,,,9450,,9450,2023/03/23 20:22:00+00,28,,28886.0987792459,740.102612381919
393,BL,SCB,BIN Scaleybark,3530 Dewitt Ln.,Complete,ADR,RET,0,,,0.27,1800000,2022,BIN Scaleybark,Yes,,,,9000,9000,,15,,21476.4660296921,606.357001627938
394,BL,SCB,Alexan LoSo,3305 South Bv.,Under Construction,NEWC,MTF,314,,,0.25,79500000,,Maple Multi-Family,Yes,,,,,,,318,,99156.1476406396,1397.44679932843
395,BL,SCB,Bronson Square,227 Freeland Ln.,Under Construction,NEWC,TWHM,18,,,0.25,2500000,,Copper Builders,No,,,,,,,36,,32958.9496811598,744.028830603057
396,BL,SCB,LoSo Building 4,3600 South Bv.,Under Construction,NEWC,OFF,0,,,0.01,22000000,,LoSo Land #3,Yes,,,72308,15090,87398,,992,,52344.099442524,1031.58499967259
397,BL,SCB,OMB ,4210 Yancey Rd.,Proposed,ADR,RET,0,,,0.5,,,OMB,Yes,,,8121,,8121,,34,,89004.458160054,1251.45986511707
398,BL,SCB,Rally Entertainment,101 Southside Dr.,Under Construction,ADR,REC,0,,,0.45,5400000,,Rally Entertainment,Yes,,,,27268,27268,,34,,80738.0037088241,1170.70048450684
399,BL,SCB,East Cama Apartments,235 East Cama St.,Under Construction,NEWC,MTF,33,,,0.4,,,AHC Funds,Yes,,,,,,,25,,24393.4859446128,637.112278391581
400,BL,NBN,Poindexter,2801 S. Tryon St.,Proposed,NEWC,MTF,344,,,0.35,8600000,,Poindexter Partners,Yes,,,,,,,378,,108501.082383122,1532.18558203487
401,BL,ARWW,Arrowood Family Apartments,818 E. Arrowood Rd.,Proposed,NEWC,MTF,120,120,,0.001,,,NRP,Yes,,,,,,,132,,192228.232869956,1978.05838409461
402,BL,SCB,LoSo Terraces,3031 LoSo Tr.,Under Construction,NEWC,TWHM,81,,,0.25,29160000,,HC Cama,Yes,,,,,,,81,,171749.782686022,2445.15829609312
403,BL,NBN,3119 South Blvd,3119 South Blvd,Under Construction,NEWC,MIXU,417,,,0.3,104250000,,Ketter and Akridge,Yes,,,,4285,4285,,480,,121245.914333145,1531.87474928151
404,BL,EAWT,The Point,1700 S. Tryon St.,Proposed,NEWC,MTF,45,,,0.3,,,Groenewold,Yes,,,,,,,25,,16572.158935819,545.797182012429
405,BLE,UVC,Arlington,8202 Dave McKinney Av.,Proposed,NEWC,MTF,342,,,0.01,,,McKinney Holdings,Yes,,,,,,,538,,191391.876281315,1785.55298640008
406,BLE,25,2200 Brevard,2200 N. Brevard St.,Proposed,NEWC,MTF,174,,,0.01,,,CRP,Yes,,,,,,,55,,65308.3908852712,1141.04412838355
407,BL,EAWT,The Point Phase 4,1620 S. Tryon St.,Proposed,NEWC,MTF,90,,,0.3,,,Jason Groenwold,,,,,2028,2028,,58,,32787.3247342055,783.151808502336
408,GL,,Wesley Heights Townhomes,112 Wesley Heights Way,Proposed,NEWC,TWHM,5,,,0.02,,,Blackacre West End,Yes,6301 SF BUA,,,,,,5,,9698.8171576064,420.196705702306
409,BLE,SUG,Roers NoDa,3713 N. Davidson St.,Proposed,NEWC,MTF,389,,,0.03,,,Roers,Yes,,,,,,,392,,129401.935156622,1680.531971721
410,BL,BLD,Bland Street Parking Deck,205 E. Bland St.,Proposed,NEWC,PKD,0,,,0.02,,,Cousins,Yes,,,,,,,656,,35486.9652593459,779.702398849946
411,BL,25,Mixed Use,2508 N. Davidson St.,Proposed,NEWC,MIXU,186,,,0.5,,,Davidson Jordan Partners,Yes,,,,3995,3995,,11,,39902.8021775068,948.616830054063
412,BLE,UVC,Self Storage,7628 N. Tryon St.,Proposed,NEWC,RET,0,,,0.4,,,Clubview Apartments,Yes,,,,94375,,,20,,51390.8892890731,1001.19582380493
413,SL,,Divine Airport Hotel,5210 Old Dowd Rd.,Proposed,NEWC,HOS,0,,95,0.1,,,Divine Southend,Yes,,,,60984,60984,,97,,259780.685386547,2675.63105782771
414,GL,GLP2,Commercial,417 Beatties Ford Rd.,Proposed,NEWC,OFF,0,,,,,,Carolina Urban Properties,Yes,,,6301,,6301,,11,,13861.6558128204,522.756304944506
415,BLE,25,Bladerunner Mixed Use,2321 N. Davidson St.,Proposed,NEWC,MIXU,396,,,0.18,,,Spacecraft City,,,,,8578,8578,,70,,100448.335192962,1497.43835118349
416,BLE,25,Delorean Mixed Use,423 E. 21st St.,Proposed,NEWC,MIXU,290,16538,,0.13,,,Space Craft,Yes,,,,16538,16538,,43,,49742.9167723338,1203.71087667772
417,BL,EAWT,1939 Cleveland,1913 Cleveland Av.,Proposed,NEWC,RET,0,,,0.25,,,Redwood,Yes,,,,9539,9539,,7,,9906.68117545739,498.134988354393
418,BL,EAWT,427 East Boulevard Office,427 East Bv.,Proposed,NEWC,OFF,0,,,0.33,,,427 East Boulevard,Yes,,,4911,,4911,,2,,7404.99950140366,391.883282881876
419,BL,NBN,2901 South Boulevard,2901 South Bv.,Proposed,NEWC,MIXU,157,,,0.1,,,Urban Genesis,Yes,,,,11000,11000,,124,,71592.5482215512,1113.99729942343
420,BLE,36,31st Street Townhomes,124 W 31st St.,Proposed,NEWC,TWHM,0,,,0.5,,,AHC Funds,,87978 SF,,,,,,88,,50089.7557498853,891.400092799291
421,BLE,36,32nd Street Townhomes,210 W. 32nd St.,Proposed,NEWC,TWHM,43,,,0.5,,,HD&L,Yes,95976 sf,,,,,,80,,84234.0356864979,1190.69884479799
422,BL,SCB,LoSo Apartments,135 Orchard Cr.,Proposed,NEWC,MTF,119,,,0.5,,,AHC Orchard,Yes,,,,,,,156,,113136.883250401,1476.72672338021
423,BL,TYV,Fordham Park,664 Griffith Rd.,Proposed,NEWC,IND,0,,,0.3,,,Griffith Group,Yes,,,,,10890,,17,,74979.5455709579,1182.30987065884
424,GL,GLP3,Gordon Street Hotel,1214 Gordon St.,Proposed,NEWC,HOS,0,,20,,,,Sinacori Builders,Yes,,,,,24576,,12,,7881.39069626347,396.837731741836
425,BL,EAWT,1619 South Boulevard,1619 South Bv.,Proposed,NEWC,,371,,,0.2,,,Sterling Bay,Yes,,,,6577,6577,,376,,31108.6797707764,795.202274331064
426,BL,BLD,The Point Phase 3,1634 S. Tryon St.,Proposed,NEWC,MIXU,78,,,0.25,,,1632 S. Tryon LLC,Yes,,,,5495,5495,,62,,31319.1775461585,707.460559611932
427,BLE,36,Queens Pak Commons,2920 N. Tryon St.,Proposed,NEWC,MIXU,450,,,0.5,,,Deven Group,Yes,,,,,,,,,770175.442864372,4034.33364983557
428,BL,BLD,Centre South Bldg. D,1203 S. Caldwell St.,Proposed,,MTF,0,,,0.2,,,,,,,,,,,354,,636443.775794357,3707.73600861446
429,SL,SHA,Erving Building,4037 E. Independence Bv.,Proposed,ADR,OFF,0,,,0.3,,,The Erving Building LLC,Yes,,,41400,9100,50500,,84,,93256.2888529277,1273.03730464189
430,SL,11_,Mixed Use,800 N. Tryon St.,Proposed,NEWC,MIXU,30,,208,0.1,,,Nichols Company,Yes,,,,100,245663,,169,,18155.370483176,733.028576010974
431,SL,BRH,Wilkinson Catalyst,2401 Wilkinson Bv.,Under Construction,NEWC,MTF,213,,,0.01,46860000,,Catalyst Capital Partners,Yes,,,,,,,248,,302551.684702326,2188.70924632189
432,SL,BRH,Alta West Morehead,2016 West Morehead St.,Under Construction,NEWC,MTF,308,,,0.35,67760000,,Wood Partners,Yes,,,,,,,438,,143332.170373518,1866.62941947634
433,SL,BRH,Madison Ashley Park,2440 Wilkinson Bv.,Under Construction,NEWC,MTF,253,,,0.1,50600000,,Madison Capital Group,Yes,,,,,,,352,,193116.789407617,1953.65978389708
434,SL,AMG,Unaka Townhomes,4900 Unaka Av.,Proposed,NEWC,TWHM,6,,,0.5,2400000,,,Yes,,,,,,,12,,15257.5943857207,511.684957079506
435,BL,EAWT,2127 Hawkins Street,2127 Hawkins St.,Proposed,NEWC,RET,0,,,0.2,,,PBB Holdings,Yes,,,,1125,1125,,3,,14157.6009257884,695.384081915925
436,BL,BLD,1435 South Tryon Tower 2,1435 S. Tryon St.,Proposed,NEWC,OFF,0,,,0.01,,,Cousins,Yes,,,410083,20704,430787,,683,,43919.0799443363,926.244182307991
437,BL,BLD,200 Bland Street Tower 2,200 E. Bland St.,Proposed,NEWC,MIXU,300,,,0.01,,,Cousins,Yes,,,,12000,12000,,,,45229.510117469,941.770104121258
438,SL,MTP,Matthews Mixed Use,1100 Matthews Mint Hill Road,Under Construction,NEWC,MIXU,570,,180,0.01,120000000,,Proffit Dixon,Yes,,,,151000,151000,,,,1884628.59270996,6096.18096524669
439,BL,WDL,Verbena Townhomes,121  Verbena St.,Proposed,NEWC,TWHM,15,,,0.5,,,Copper Builders,,32175 SF,,,,,,30,,23039.6359503998,607.234976331604
440,BLE,SUG,Anderson Townhomes,712 Anderson St.,Proposed,NEWC,TWHM,47,,,0.35,,,Sterling Development Co.,Yes,92496 SF,,,,,,55,,102563.606910303,1684.93082221039
441,GL,GLP2,West Side Development,136 S. Bruns Av.,Under Construction,NEWC,MIXU,43,43,,0.25,21444400,,Verde Homes,Yes,,,3484,4469,7953,,90,,51346.262577976,884.044952727254
442,GL,GLP2,Trade Street Townhomes,1919 W. Trade St.,Complete,NEWC,TWHM,7,,,0.2,3000000,2023,Kevin Devin,,,,,,,,7,,11515.1666630737,525.202129978219
443,GL,GLP2,Beatties Ford Rd at French Street,424 Beatties Ford Rd.,Proposed,NEWC,,0,,,,,,Carolina Urban Properties,Yes,,,,,,,,,20218.6354898252,873.967254639887
444,GL,GLP3,Phoenix Rising Townhomes,2131 LaSalle St.,Proposed,NEWC,TWHM,27,27,,0.2,,,Dreamkey Partners,Yes,,,,,,,54,,104579.934999252,1549.47783257211
445,GL,GLP2,Cykel Apartments,539 State St.,Under Construction,NEWC,MTF,104,104,,0.5,25800400,,Grubb Properties,Yes,,,,,,,6,,31715.9350624318,791.498126704206
446,GL,GLP2,Rabbit Patch,1831 Rozzelles Ferry Rd.,Proposed,NEWCR,RET,0,,,0.25,,,Period Design Concepts,Yes,,,,4982,4982,,0,,22921.9009471307,765.162959478731
447,GL,GLP2,Mosaic Village Phase 2,1607 W. Trade St.,Proposed,NEWC,MIXU,0,,,0.01,,,Neighboring Concepts,Yes,,,66940,4460,82450,,319,,16044.8250093327,568.062674356961
448,GL,GLP3,Mattoon Street Quadraplex,206 Mattoon St.,Proposed,NEWC,MTF,4,,,0.5,,,Harrison Sherra,Yes,,,,,,,4,,13400.1853150688,482.208541921043
449,GL,GLP3,3416 Central Avenue,3416 Central Av.,Proposed,NEWC,TWHM,15,,,,4900000,,Ivn-Eva Properties,Yes,,,,,,,32,,38720.3831677263,792.905905016573
450,BL,NBN,Sedgefield Multi-Family,300 Poindexter Dr.,Under Construction,NEWC,MTF,166,,,0.35,41500000,,Marsh Realty,Yes,,,,,,,319,,125089.82191817,1461.24147209398
451,SL,SMW,Acadia Healthcare,9101 Wilkinson Bv.,Proposed,NEWC,INS,0,,,0.45,,,Acadia,Yes,,,,,,,,,837701.503292906,4553.92499183261
452,SL,MORF,Evoke at Morris Field,4312 Morris Field Dr.,Proposed,NEWC,MTF,132,132,,0.3,,,Evoke,Yes,,,,,,,,,55059.9073993434,986.726104651102
